Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status,Description
6/19/2025,Thursday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/20/2025,Friday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/21/2025,Saturday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/22/2025,Sunday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/23/2025,Monday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/24/2025,Tuesday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/25/2025,Wednesday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/26/2025,Thursday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/27/2025,Friday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
6/28/2025,Saturday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/29/2025,Sunday,June,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
6/30/2025,Monday,June,2025,TRUE,9:15:00,15:30:00,TRADING,
7/1/2025,Tuesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/2/2025,Wednesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/3/2025,Thursday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/4/2025,Friday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/5/2025,Saturday,July,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
7/6/2025,Sunday,July,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
7/7/2025,Monday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/8/2025,Tuesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/9/2025,Wednesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/10/2025,Thursday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/11/2025,Friday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/12/2025,Saturday,July,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
7/13/2025,Sunday,July,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
7/14/2025,Monday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/15/2025,Tuesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/16/2025,Wednesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/17/2025,Thursday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/18/2025,Friday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/19/2025,Saturday,July,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
7/20/2025,Sunday,July,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
7/21/2025,Monday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/22/2025,Tuesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/23/2025,Wednesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/24/2025,Thursday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/25/2025,Friday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/26/2025,Saturday,July,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
7/27/2025,Sunday,July,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
7/28/2025,Monday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/29/2025,Tuesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/30/2025,Wednesday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
7/31/2025,Thursday,July,2025,TRUE,9:15:00,15:30:00,TRADING,
8/1/2025,Friday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/2/2025,Saturday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/3/2025,Sunday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/4/2025,Monday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/5/2025,Tuesday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/6/2025,Wednesday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/7/2025,Thursday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/8/2025,Friday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/9/2025,Saturday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/10/2025,Sunday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/11/2025,Monday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/12/2025,Tuesday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/13/2025,Wednesday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/14/2025,Thursday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/15/2025,Friday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Independence Day
8/16/2025,Saturday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/17/2025,Sunday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/18/2025,Monday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/19/2025,Tuesday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/20/2025,Wednesday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/21/2025,Thursday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/22/2025,Friday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/23/2025,Saturday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/24/2025,Sunday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/25/2025,Monday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/26/2025,Tuesday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/27/2025,Wednesday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Ganesh Chaturthi
8/28/2025,Thursday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/29/2025,Friday,August,2025,TRUE,9:15:00,15:30:00,TRADING,
8/30/2025,Saturday,August,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
8/31/2025,Sunday,August,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/1/2025,Monday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/2/2025,Tuesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/3/2025,Wednesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/4/2025,Thursday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/5/2025,Friday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/6/2025,Saturday,September,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/7/2025,Sunday,September,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/8/2025,Monday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/9/2025,Tuesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/10/2025,Wednesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/11/2025,Thursday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/12/2025,Friday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/13/2025,Saturday,September,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/14/2025,Sunday,September,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/15/2025,Monday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/16/2025,Tuesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/17/2025,Wednesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/18/2025,Thursday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/19/2025,Friday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/20/2025,Saturday,September,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/21/2025,Sunday,September,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/22/2025,Monday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/23/2025,Tuesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/24/2025,Wednesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/25/2025,Thursday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/26/2025,Friday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/27/2025,Saturday,September,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/28/2025,Sunday,September,2025,2025,FALSE,CLOSED,CLOSED,Weekend
9/29/2025,Monday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
9/30/2025,Tuesday,September,2025,TRUE,9:15:00,15:30:00,TRADING,
10/1/2025,Wednesday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/2/2025,Thursday,October,2025,FALSE,CLOSED,CLOSED,CLOSED,Mahatma Gandhi Jayanti/Dussehra
10/3/2025,Friday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/4/2025,Saturday,October,2025,2025,FALSE,CLOSED,CLOSED,Weekend
10/5/2025,Sunday,October,2025,2025,FALSE,CLOSED,CLOSED,Weekend
10/6/2025,Monday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/7/2025,Tuesday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/8/2025,Wednesday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/9/2025,Thursday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/10/2025,Friday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/11/2025,Saturday,October,2025,2025,FALSE,CLOSED,CLOSED,Weekend
10/12/2025,Sunday,October,2025,2025,FALSE,CLOSED,CLOSED,Weekend
