Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status
2024-11-15,Friday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-16,Saturday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-17,Sunday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-18,Monday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-19,Tuesday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-20,Wednesday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-21,Thursday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-22,Friday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-23,Saturday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-24,Sunday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-11-25,Monday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-26,Tuesday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-27,Wednesday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-28,Thursday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-29,Friday,November,2024,True,09:15:00,15:30:00,TRADING
2024-11-30,Saturday,November,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-01,Sunday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-02,Monday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-03,Tuesday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-04,Wednesday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-05,Thursday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-06,Friday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-07,Saturday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-08,Sunday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-09,Monday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-10,Tuesday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-11,Wednesday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-12,Thursday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-13,Friday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-14,Saturday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-15,Sunday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-16,Monday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-17,Tuesday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-18,Wednesday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-19,Thursday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-20,Friday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-21,Saturday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-22,Sunday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-23,Monday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-24,Tuesday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-25,Wednesday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-26,Thursday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-27,Friday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-28,Saturday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-29,Sunday,December,2024,False,CLOSED,CLOSED,HOLIDAY
2024-12-30,Monday,December,2024,True,09:15:00,15:30:00,TRADING
2024-12-31,Tuesday,December,2024,True,09:15:00,15:30:00,TRADING
2025-01-01,Wednesday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-02,Thursday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-03,Friday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-04,Saturday,January,2025,False,CLOSED,CLOSED,HOLIDAY
2025-01-05,Sunday,January,2025,False,CLOSED,CLOSED,HOLIDAY
2025-01-06,Monday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-07,Tuesday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-08,Wednesday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-09,Thursday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-10,Friday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-11,Saturday,January,2025,False,CLOSED,CLOSED,HOLIDAY
2025-01-12,Sunday,January,2025,False,CLOSED,CLOSED,HOLIDAY
2025-01-13,Monday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-14,Tuesday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-15,Wednesday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-16,Thursday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-17,Friday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-18,Saturday,January,2025,False,CLOSED,CLOSED,HOLIDAY
2025-01-19,Sunday,January,2025,False,CLOSED,CLOSED,HOLIDAY
2025-01-20,Monday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-21,Tuesday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-22,Wednesday,January,2025,True,09:15:00,15:30:00,TRADING
